,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
70,ring,ring,,,,,,,,,,,,,,,,,,,
71,ring,ring,bracelet,,,,,,,,,,,,,,,,,,
72,ring,ring,ring,,,,,,,,,,,,,,,,,,
73,necklace,solitaire,,,,,,,,,,,,,,,,,,,
74,bag charm,charm,necklace,,,,,,,,,,,,,,,,,,
75,earring,ring,earring,ring,bracelet,,,,,,,,,,,,,,,,
76,ring,ring,ring,earring,ring,,,,,,,,,,,,,,,,
77,ring,ring,,,,,,,,,,,,,,,,,,,
78,kit,necklace,,,,,,,,,,,,,,,,,,,
79,bracelet,ring,,,,,,,,,,,,,,,,,,,
80,bracelet,bracelet,bracelet,,,,,,,,,,,,,,,,,,
81,earring,ring,ring,bracelet,earring,ring,ring,,,,,,,,,,,,,,
82,bracelet,pendant,ring,,,,,,,,,,,,,,,,,,
83,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
84,bracelet,bracelet,ring,,,,,,,,,,,,,,,,,,
85,ring,ring,earring,ring,pendant,,,,,,,,,,,,,,,,
86,bracelet,ring,,,,,,,,,,,,,,,,,,,
87,bracelet,bracelet,charm,,,,,,,,,,,,,,,,,,
88,bag charm,charm,,,,,,,,,,,,,,,,,,,
89,bracelet,bracelet,bracelet,ring,,,,,,,,,,,,,,,,,
90,pendant,pendant,bracelet,bracelet,,,,,,,,,,,,,,,,,
91,necklace,lamp,,,,,,,,,,,,,,,,,,,
92,ring,ring,,,,,,,,,,,,,,,,,,,
93,ring,ring,,,,,,,,,,,,,,,,,,,
94,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
95,ring,pendant,ring,,,,,,,,,,,,,,,,,,
96,ring,pendant,,,,,,,,,,,,,,,,,,,
97,ring,ring,,,,,,,,,,,,,,,,,,,
98,bracelet,bracelet,necklace,,,,,,,,,,,,,,,,,,
99,bracelet,bracelet,ring,ring,charm,ring,,,,,,,,,,,,,,,
100,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
101,necklace,solitaire,pendant,ring,kit,necklace,,,,,,,,,,,,,,,
102,bracelet,bracelet,ring,,,,,,,,,,,,,,,,,,
103,bracelet,bracelet,ring,solitaire,ring,,,,,,,,,,,,,,,,
104,ring,ring,,,,,,,,,,,,,,,,,,,
105,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
106,ring,ring,,,,,,,,,,,,,,,,,,,
107,necklace,ring,,,,,,,,,,,,,,,,,,,
108,kit,bracelet,pixiu,,,,,,,,,,,,,,,,,,
109,ring,solitaire,,,,,,,,,,,,,,,,,,,
110,tree,tower,,,,,,,,,,,,,,,,,,,
111,bag charm,charm,,,,,,,,,,,,,,,,,,,
112,necklace,tree,,,,,,,,,,,,,,,,,,,
113,lamp,tower,,,,,,,,,,,,,,,,,,,
114,necklace,necklace,,,,,,,,,,,,,,,,,,,
115,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
116,earring,ring,earring,ring,solitaire,,,,,,,,,,,,,,,,
117,ring,ring,solitaire,,,,,,,,,,,,,,,,,,
118,solitaire,solitaire,pendant,,,,,,,,,,,,,,,,,,
119,bracelet,pixiu,necklace,,,,,,,,,,,,,,,,,,
120,necklace,necklace,,,,,,,,,,,,,,,,,,,
121,tree,tower,tree,,,,,,,,,,,,,,,,,,
122,earring,ring,ring,solitaire,ring,solitaire,,,,,,,,,,,,,,,
123,lamp,bracelet,pixiu,lamp,,,,,,,,,,,,,,,,,
124,bracelet,pixiu,,,,,,,,,,,,,,,,,,,
125,necklace,tower,,,,,,,,,,,,,,,,,,,
126,earring,ring,pixiu,,,,,,,,,,,,,,,,,,
127,necklace,kit,,,,,,,,,,,,,,,,,,,
128,pendant,pendant,earring,ring,,,,,,,,,,,,,,,,,
129,bag charm,charm,,,,,,,,,,,,,,,,,,,
130,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
131,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
132,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
133,bracelet,earring,ring,,,,,,,,,,,,,,,,,,
134,solitaire,earring,ring,bag charm,charm,,,,,,,,,,,,,,,,
135,pendant,earring,ring,bracelet,bracelet,,,,,,,,,,,,,,,,
136,earring,ring,,,,,,,,,,,,,,,,,,,
137,earring,ring,,,,,,,,,,,,,,,,,,,
138,ring,charm,,,,,,,,,,,,,,,,,,,
139,ring,ring,,,,,,,,,,,,,,,,,,,
140,earring,ring,,,,,,,,,,,,,,,,,,,
141,lamp,ring,,,,,,,,,,,,,,,,,,,
142,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
143,earring,ring,,,,,,,,,,,,,,,,,,,
144,ring,lamp,,,,,,,,,,,,,,,,,,,
145,ring,ring,ring,,,,,,,,,,,,,,,,,,
146,ring,ring,,,,,,,,,,,,,,,,,,,
147,necklace,ring,,,,,,,,,,,,,,,,,,,
148,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
149,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
150,earring,ring,ring,,,,,,,,,,,,,,,,,,
151,solitaire,necklace,,,,,,,,,,,,,,,,,,,
152,ring,ring,solitaire,,,,,,,,,,,,,,,,,,
153,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
154,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
155,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
156,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
157,solitaire,necklace,,,,,,,,,,,,,,,,,,,
158,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
159,necklace,necklace,necklace,,,,,,,,,,,,,,,,,,
160,ring,necklace,,,,,,,,,,,,,,,,,,,
161,earring,ring,solitaire,,,,,,,,,,,,,,,,,,
162,kit,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,
163,bag charm,charm,,,,,,,,,,,,,,,,,,,
164,earring,ring,,,,,,,,,,,,,,,,,,,
165,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
166,earring,ring,ring,lamp,,,,,,,,,,,,,,,,,
167,necklace,necklace,,,,,,,,,,,,,,,,,,,
168,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
169,earring,ring,,,,,,,,,,,,,,,,,,,
170,ring,solitaire,ring,,,,,,,,,,,,,,,,,,
171,solitaire,necklace,,,,,,,,,,,,,,,,,,,
172,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
173,necklace,necklace,necklace,,,,,,,,,,,,,,,,,,
174,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
175,solitaire,solitaire,necklace,solitaire,,,,,,,,,,,,,,,,,
176,solitaire,solitaire,necklace,,,,,,,,,,,,,,,,,,
177,solitaire,necklace,necklace,,,,,,,,,,,,,,,,,,
178,necklace,necklace,,,,,,,,,,,,,,,,,,,
179,ring,ring,,,,,,,,,,,,,,,,,,,
180,tower,lamp,ring,,,,,,,,,,,,,,,,,,
181,bead,bead,,,,,,,,,,,,,,,,,,,
182,earring,ring,,,,,,,,,,,,,,,,,,,
183,earring,ring,,,,,,,,,,,,,,,,,,,
184,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
185,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
186,earring,ring,,,,,,,,,,,,,,,,,,,
187,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
188,bag charm,charm,,,,,,,,,,,,,,,,,,,
189,solitaire,ring,,,,,,,,,,,,,,,,,,,
190,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
191,bead,lamp,,,,,,,,,,,,,,,,,,,
192,earring,ring,solitaire,,,,,,,,,,,,,,,,,,
193,earring,ring,,,,,,,,,,,,,,,,,,,
194,solitaire,ring,earring,ring,,,,,,,,,,,,,,,,,
195,bag charm,charm,,,,,,,,,,,,,,,,,,,
196,earring,ring,solitaire,solitaire,,,,,,,,,,,,,,,,,
197,solitaire,bag charm,charm,,,,,,,,,,,,,,,,,,
198,earring,ring,solitaire,,,,,,,,,,,,,,,,,,
199,solitaire,lamp,gua sha,solitaire,,,,,,,,,,,,,,,,,
200,earring,ring,,,,,,,,,,,,,,,,,,,
201,bracelet,solitaire,solitaire,solitaire,earring,ring,,,,,,,,,,,,,,,
202,solitaire,tower,,,,,,,,,,,,,,,,,,,
203,earring,ring,,,,,,,,,,,,,,,,,,,
204,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
205,earring,ring,,,,,,,,,,,,,,,,,,,
206,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
207,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
208,earring,ring,,,,,,,,,,,,,,,,,,,
209,earring,ring,,,,,,,,,,,,,,,,,,,
210,earring,ring,,,,,,,,,,,,,,,,,,,
211,bracelet,earring,ring,,,,,,,,,,,,,,,,,,
212,earring,ring,,,,,,,,,,,,,,,,,,,
213,earring,ring,solitaire,,,,,,,,,,,,,,,,,,
214,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
215,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
216,bag charm,charm,lamp,ring,,,,,,,,,,,,,,,,,
217,earring,ring,,,,,,,,,,,,,,,,,,,
218,earring,ring,,,,,,,,,,,,,,,,,,,
219,earring,ring,,,,,,,,,,,,,,,,,,,
220,bracelet,bead,,,,,,,,,,,,,,,,,,,
221,earring,ring,solitaire,lamp,,,,,,,,,,,,,,,,,
222,earring,ring,,,,,,,,,,,,,,,,,,,
223,earring,ring,,,,,,,,,,,,,,,,,,,
224,ring,tower,,,,,,,,,,,,,,,,,,,
225,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
226,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
227,lamp,solitaire,,,,,,,,,,,,,,,,,,,
228,tower,bag charm,charm,kit,,,,,,,,,,,,,,,,,
229,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
230,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
231,bracelet,pendant,,,,,,,,,,,,,,,,,,,
232,lamp,bag charm,charm,,,,,,,,,,,,,,,,,,
233,bag charm,charm,,,,,,,,,,,,,,,,,,,
234,bag charm,charm,,,,,,,,,,,,,,,,,,,
235,tower,solitaire,,,,,,,,,,,,,,,,,,,
236,bag charm,charm,,,,,,,,,,,,,,,,,,,
237,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
238,solitaire,solitaire,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,
239,solitaire,tower,solitaire,solitaire,,,,,,,,,,,,,,,,,
240,earring,ring,bag charm,charm,,,,,,,,,,,,,,,,,
241,earring,ring,,,,,,,,,,,,,,,,,,,
242,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
243,bag charm,charm,,,,,,,,,,,,,,,,,,,
244,kit,solitaire,,,,,,,,,,,,,,,,,,,
245,earring,ring,,,,,,,,,,,,,,,,,,,
246,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
247,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
248,ring,ring,,,,,,,,,,,,,,,,,,,
249,gua sha,lamp,lamp,,,,,,,,,,,,,,,,,,
250,lamp,tower,,,,,,,,,,,,,,,,,,,
251,bag charm,charm,,,,,,,,,,,,,,,,,,,
252,solitaire,solitaire,solitaire,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,
253,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
254,solitaire,lamp,solitaire,,,,,,,,,,,,,,,,,,
255,bracelet,bead,,,,,,,,,,,,,,,,,,,
256,lamp,bag charm,charm,kit,,,,,,,,,,,,,,,,,
257,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
258,earring,ring,solitaire,,,,,,,,,,,,,,,,,,
259,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
260,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
261,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
262,earring,ring,,,,,,,,,,,,,,,,,,,
263,bag charm,charm,,,,,,,,,,,,,,,,,,,
264,earring,ring,,,,,,,,,,,,,,,,,,,
265,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
266,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
267,bag charm,charm,lamp,bag charm,charm,kit,,,,,,,,,,,,,,,
268,bag charm,charm,bag charm,charm,lamp,gua sha,,,,,,,,,,,,,,,
269,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
270,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
271,lamp,bottle,solitaire,bag charm,charm,bag charm,charm,kit,,,,,,,,,,,,,
272,lamp,bottle,,,,,,,,,,,,,,,,,,,
273,solitaire,pouch,pouch,solitaire,solitaire,bag charm,charm,,,,,,,,,,,,,,
274,solitaire,bag charm,charm,,,,,,,,,,,,,,,,,,
275,bag charm,charm,,,,,,,,,,,,,,,,,,,
276,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
277,solitaire,solitaire,earring,ring,,,,,,,,,,,,,,,,,
278,lamp,bag charm,charm,,,,,,,,,,,,,,,,,,
279,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
280,gua sha,lamp,,,,,,,,,,,,,,,,,,,
281,solitaire,bag charm,charm,,,,,,,,,,,,,,,,,,
282,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
283,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
284,bag charm,charm,,,,,,,,,,,,,,,,,,,
285,bottle,bottle,,,,,,,,,,,,,,,,,,,
286,bag charm,charm,,,,,,,,,,,,,,,,,,,
287,solitaire,solitaire,solitaire,chip,solitaire,,,,,,,,,,,,,,,,
288,bottle,ring,,,,,,,,,,,,,,,,,,,
289,bag charm,charm,,,,,,,,,,,,,,,,,,,
290,solitaire,bag charm,charm,,,,,,,,,,,,,,,,,,
291,bag charm,charm,,,,,,,,,,,,,,,,,,,
292,tumble,necklace,gua sha,,,,,,,,,,,,,,,,,,
293,earring,ring,,,,,,,,,,,,,,,,,,,
294,solitaire,bottle,,,,,,,,,,,,,,,,,,,
295,earring,ring,bottle,,,,,,,,,,,,,,,,,,
296,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
297,tumble,pointer,tumble,,,,,,,,,,,,,,,,,,
298,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
299,bottle,bag charm,charm,,,,,,,,,,,,,,,,,,
300,bottle,bag charm,charm,,,,,,,,,,,,,,,,,,
301,gua sha,bottle,,,,,,,,,,,,,,,,,,,
302,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
303,solitaire,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,
304,bag charm,charm,ring,bottle,,,,,,,,,,,,,,,,,
305,bag charm,charm,bag charm,charm,kit,ring,,,,,,,,,,,,,,,
306,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
307,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
308,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
309,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
310,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
311,solitaire,solitaire,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,
312,bag charm,charm,kit,,,,,,,,,,,,,,,,,,
313,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
314,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
315,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
316,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
317,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
318,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
319,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
320,bag charm,charm,,,,,,,,,,,,,,,,,,,
321,earring,ring,,,,,,,,,,,,,,,,,,,
322,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
323,charm,charm,,,,,,,,,,,,,,,,,,,
324,solitaire,earring,ring,,,,,,,,,,,,,,,,,,
325,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
326,solitaire,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,
327,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
328,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
329,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
330,necklace,solitaire,,,,,,,,,,,,,,,,,,,
331,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
332,solitaire,solitaire,solitaire,,,,,,,,,,,,,,,,,,
333,bag charm,charm,bag charm,charm,hedgehog,,,,,,,,,,,,,,,,
334,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
335,earring,ring,,,,,,,,,,,,,,,,,,,
336,earring,ring,,,,,,,,,,,,,,,,,,,
337,lamp,tower,,,,,,,,,,,,,,,,,,,
338,hedgehog,charm,bracelet,,,,,,,,,,,,,,,,,,
339,earring,ring,charm,,,,,,,,,,,,,,,,,,
340,bracelet,bead,,,,,,,,,,,,,,,,,,,
341,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
342,earring,ring,,,,,,,,,,,,,,,,,,,
343,earring,ring,,,,,,,,,,,,,,,,,,,
344,bead,bead,,,,,,,,,,,,,,,,,,,
345,ring,ring,,,,,,,,,,,,,,,,,,,
346,earring,ring,,,,,,,,,,,,,,,,,,,
347,bag charm,charm,kit,earring,ring,,,,,,,,,,,,,,,,
348,earring,ring,,,,,,,,,,,,,,,,,,,
349,bag charm,charm,bag charm,charm,,,,,,,,,,,,,,,,,
350,bag charm,charm,bag charm,charm,gua sha,,,,,,,,,,,,,,,,
351,earring,ring,bag charm,charm,,,,,,,,,,,,,,,,,
352,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
353,earring,ring,,,,,,,,,,,,,,,,,,,
354,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
355,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
356,charm,charm,charm,,,,,,,,,,,,,,,,,,
357,bottle,bag charm,charm,charm,,,,,,,,,,,,,,,,,
358,bottle,gua sha,,,,,,,,,,,,,,,,,,,
359,bag charm,charm,,,,,,,,,,,,,,,,,,,
360,solitaire,bag charm,charm,,,,,,,,,,,,,,,,,,
361,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
362,bag charm,charm,kit,bag charm,charm,kit,,,,,,,,,,,,,,,
363,charm,charm,charm,charm,charm,,,,,,,,,,,,,,,,
364,solitaire,bottle,,,,,,,,,,,,,,,,,,,
365,bag charm,charm,,,,,,,,,,,,,,,,,,,
366,bottle,solitaire,,,,,,,,,,,,,,,,,,,
367,bottle,gua sha,,,,,,,,,,,,,,,,,,,
368,bottle,gua sha,,,,,,,,,,,,,,,,,,,
369,bag charm,charm,kit,,,,,,,,,,,,,,,,,,
370,solitaire,solitaire,bottle,bottle,,,,,,,,,,,,,,,,,
371,bottle,bag charm,charm,bag charm,charm,kit,,,,,,,,,,,,,,,
372,bag charm,charm,,,,,,,,,,,,,,,,,,,
373,bottle,bag charm,charm,,,,,,,,,,,,,,,,,,
374,bag charm,charm,,,,,,,,,,,,,,,,,,,
375,bag charm,charm,bead,,,,,,,,,,,,,,,,,,
376,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
377,pendant,bracelet,bag charm,charm,,,,,,,,,,,,,,,,,
378,earring,ring,,,,,,,,,,,,,,,,,,,
379,solitaire,bottle,,,,,,,,,,,,,,,,,,,
380,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
381,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
382,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
383,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
384,bracelet,bracelet,bracelet,,,,,,,,,,,,,,,,,,
385,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
386,tree,bracelet,charm,,,,,,,,,,,,,,,,,,
387,ring,ring,ring,ring,ring,ring,,,,,,,,,,,,,,,
388,necklace,bracelet,,,,,,,,,,,,,,,,,,,
389,bracelet,necklace,,,,,,,,,,,,,,,,,,,
390,ring,ring,ring,,,,,,,,,,,,,,,,,,
391,ring,ring,ring,,,,,,,,,,,,,,,,,,
392,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
393,ring,ring,ring,,,,,,,,,,,,,,,,,,
394,ring,ring,ring,,,,,,,,,,,,,,,,,,
395,ring,ring,ring,ring,ring,ring,,,,,,,,,,,,,,,
396,ring,ring,ring,,,,,,,,,,,,,,,,,,
397,ring,ring,ring,,,,,,,,,,,,,,,,,,
398,ring,ring,ring,ring,ring,ring,,,,,,,,,,,,,,,
399,ring,ring,ring,,,,,,,,,,,,,,,,,,
400,ring,ring,ring,,,,,,,,,,,,,,,,,,
401,necklace,necklace,,,,,,,,,,,,,,,,,,,
402,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
403,ring,ring,,,,,,,,,,,,,,,,,,,
404,ring,ring,ring,,,,,,,,,,,,,,,,,,
405,ring,ring,ring,,,,,,,,,,,,,,,,,,
406,ring,ring,ring,,,,,,,,,,,,,,,,,,
407,ring,ring,ring,,,,,,,,,,,,,,,,,,
408,ring,ring,ring,,,,,,,,,,,,,,,,,,
409,ring,ring,ring,,,,,,,,,,,,,,,,,,
410,ring,ring,ring,,,,,,,,,,,,,,,,,,
411,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
412,ring,ring,ring,ring,ring,,,,,,,,,,,,,,,,
413,ring,ring,ring,,,,,,,,,,,,,,,,,,
414,ring,ring,,,,,,,,,,,,,,,,,,,
415,ring,ring,,,,,,,,,,,,,,,,,,,
416,ring,ring,ring,,,,,,,,,,,,,,,,,,
417,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
418,necklace,bracelet,,,,,,,,,,,,,,,,,,,
419,bracelet,necklace,,,,,,,,,,,,,,,,,,,
420,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
421,bag charm,charm,,,,,,,,,,,,,,,,,,,
422,bracelet,ring,,,,,,,,,,,,,,,,,,,
423,necklace,necklace,,,,,,,,,,,,,,,,,,,
424,tumble,bracelet,,,,,,,,,,,,,,,,,,,
425,bracelet,bottle,chip,,,,,,,,,,,,,,,,,,
426,pointer,sphere,sphere,,,,,,,,,,,,,,,,,,
427,tree,bag charm,charm,,,,,,,,,,,,,,,,,,
428,earring,ring,necklace,,,,,,,,,,,,,,,,,,
429,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
430,bottle,chip,,,,,,,,,,,,,,,,,,,
431,bracelet,charm,,,,,,,,,,,,,,,,,,,
432,necklace,bracelet,,,,,,,,,,,,,,,,,,,
433,bracelet,bracelet,bottle,bottle,chip,,,,,,,,,,,,,,,,
434,ring,ring,,,,,,,,,,,,,,,,,,,
435,ring,ring,,,,,,,,,,,,,,,,,,,
436,ring,ring,ring,,,,,,,,,,,,,,,,,,
437,ring,ring,ring,,,,,,,,,,,,,,,,,,
438,ring,ring,,,,,,,,,,,,,,,,,,,
439,ring,ring,,,,,,,,,,,,,,,,,,,
440,ring,ring,ring,,,,,,,,,,,,,,,,,,
441,ring,ring,bracelet,,,,,,,,,,,,,,,,,,
442,ring,ring,bracelet,,,,,,,,,,,,,,,,,,
443,ring,ring,ring,,,,,,,,,,,,,,,,,,
444,ring,ring,bracelet,,,,,,,,,,,,,,,,,,
445,ring,ring,bracelet,,,,,,,,,,,,,,,,,,
446,bracelet,tumble,,,,,,,,,,,,,,,,,,,
447,bracelet,tree,,,,,,,,,,,,,,,,,,,
448,ring,ring,,,,,,,,,,,,,,,,,,,
